,index,ax,ay,az,am,gx,gy,gz,gm,mx,my,mz,mm,label
2,2,-1.3821926666666666,-0.114917,9.793061,9.890788959147653,0.004599,-0.00043099999999999996,0.00503,0.00682916261338094,18.600048,-26.224472,-54.434853000000004,63.220549969236245,0
3,3,-1.367828333333333,-0.11372,9.781089999999999,9.876923011544102,0.00521,-0.001348,0.002892,0.006109408154641496,17.82336,-26.965484999999997,-53.966553000000005,62.906266664591016,0
4,4,-1.3502716666666668,-0.124493,9.781089999999999,9.874636887954502,0.009791,0.0032340000000000003,0.002281,0.010560558602649766,18.591648,-26.951218,-52.897652,62.210763651899754,0
5,5,-1.3351093333333335,-0.10534,9.775105,9.866422411825818,0.006737000000000001,0.005372,0.0019760000000000003,0.008840256161446907,16.950470000000003,-24.969421,-55.648143999999995,63.30486828784084,0
6,6,-1.323138666666667,-0.09337000000000001,9.781089999999999,9.870619812161161,0.007958,0.008121,-0.001384,0.011454076174008971,15.570469000000001,-26.025024,-53.17533100000001,61.21566144411165,0
7,7,-1.325931666666667,-0.100552,9.795455,9.88529939589077,0.0061259999999999995,0.007509999999999999,-0.003522,0.010311763185799022,19.225819,-25.635422,-54.132992,62.90618252772067,0
8,8,-1.351468666666667,-0.111326,9.807425,9.900729577454522,0.0058200000000000005,0.009953,-0.0074930000000000005,0.013750623913117543,16.623486,-26.132629,-54.569435,62.74613790077491,0
9,9,-1.3873803333333337,-0.112523,9.805031,9.903338756490667,0.005515,0.010564,-0.008104,0.014411389141925217,18.157055,-25.661209,-54.583954000000006,62.98876350500002,0
10,10,-1.4236910000000005,-0.095764,9.779894,9.883440365500922,0.004599,0.005065999999999999,-0.005965,0.009077245286979965,17.361923,-27.120421999999998,-54.11595500000001,62.97213864303831,0
11,11,-1.4456366666666671,-0.092173,9.765528,9.872380581841652,0.0033770000000000002,0.001707,-0.004438,0.005832137001134319,17.532288,-26.251114,-54.732063000000004,63.183073912179275,0
12,12,-1.4488286666666672,-0.11731099999999998,9.796652,9.903901089226412,0.004293,0.005983,-0.001384,0.007492769447941128,19.265079,-23.907470999999997,-54.901024,62.903361394607984,0
13,13,-1.4208973333333337,-0.126887,9.794258000000001,9.89760270536289,0.004599,0.001707,-0.002911,0.005704259022870542,17.546703,-25.969818,-53.65569300000001,62.138970255658265,0
14,14,-1.3861830000000002,-0.124493,9.775105,9.873686220331441,0.0061259999999999995,-0.0016530000000000002,-0.002911,0.006980988898429791,16.968918,-24.251220999999997,-55.647842000000004,63.029740736723085,0
15,15,-1.3642370000000001,-0.10534,9.784682,9.879890735675826,0.003988,-0.001042,-0.0023,0.004720159743059551,16.968918,-24.251220999999997,-55.647842000000004,63.029740736723085,0
16,16,-1.3654339999999998,-0.11970499999999999,9.779893,9.8754770207231,0.004599,-0.0044020000000000005,-0.0023,0.006768929383587924,18.145985,-26.092133,-54.584132999999994,63.16251856498126,0
17,17,-1.3622420000000002,-0.13407,9.787075999999999,9.88233447426467,0.004293,0.002012,-0.001384,0.0049389724639847905,18.925345999999998,-25.646942000000003,-53.51505699999999,62.2880059151385,0
18,18,-1.3658333333333337,-0.11850799999999999,9.7775,9.87314798281219,0.003988,-0.001042,-0.000468,0.004148364979121293,16.178795,-26.155029000000003,-52.720024,61.03474322222911,0
19,19,-1.367429666666667,-0.123296,9.791864,9.887652218367721,0.005515,0.00079,-0.000162,0.005573649522530099,17.548729,-25.531204000000002,-55.039265,63.15948827330128,0
20,20,-1.3706216666666666,-0.123296,9.796652,9.89283559278411,0.006431,0.00079,-0.001689,0.006695863051168236,17.830742,-26.678207,-53.96643100000001,62.78564934667137,0
21,21,-1.3682273333333332,-0.14005499999999999,9.793061,9.88917110724789,0.008569,0.007204,-0.000468,0.011204659789569695,16.9394,-25.400345,-55.648323,63.47327509425801,0
22,22,-1.3566556666666665,-0.114917,9.796652,9.890809417024059,0.0070420000000000005,0.009342,-0.000773,0.011724344629871642,17.823708,-26.672226000000002,-55.042685999999996,63.708629625498425,0
23,23,-1.3486753333333332,-0.11850799999999999,9.787075999999999,9.88027458781292,0.008875,0.004761,-0.001384,0.0101660317725256,17.697636,-25.377518,-56.116924,64.08068272927962,0
24,24,-1.3458823333333332,-0.120902,9.783485,9.87636549009846,0.008569,0.007204,-0.000162,0.011196053813732766,16.010136,-25.998352,-55.79349499999999,63.60151606502336,0
25,25,-1.359449,-0.126887,9.799046,9.893710345693673,0.007958,0.005983,0.0013650000000000001,0.010049342167525196,17.062458,-26.692474,-55.035336,63.50199878645818,0
26,26,-1.3786019999999999,-0.11850799999999999,9.79306,9.890329205040043,0.010707,0.003539,0.002892,0.011641650827953912,18.90287,-26.361725,-54.130352,63.105895499996116,0
27,27,-1.3961586666666665,-0.111326,9.795455,9.895079138531912,0.011623999999999999,0.001401,0.002587,0.011990527344533266,18.635284,-24.493103,-55.817886,63.74027221339944,0
28,28,-1.4089273333333334,-0.104143,9.788273,9.889702236042892,0.007958,0.0010960000000000002,0.004725,0.009319689104256642,18.16243,-25.372223,-54.891335,63.14017913776341,0
29,29,-1.4129173333333334,-0.10653699999999999,9.767923,9.870157306605188,0.009791,0.002012,0.005336,0.011330698169133268,18.902214,-26.067612,-55.360232999999994,64.04349683846618,0
30,30,-1.4021439999999998,-0.10294600000000001,9.788273,9.888725600307707,0.007653,0.003539,0.005336,0.009978267685324943,17.407219,-24.957275,-55.652554,63.427782678117495,0
31,31,-1.388178333333333,-0.10653699999999999,9.783484,9.882051831262629,0.009486,0.002012,0.004419,0.010656448798732156,17.574211,-24.818985,-53.962711,61.94198162129031,0
32,32,-1.3805969999999996,-0.135267,9.790667,9.888453142053462,0.009486,-0.001042,0.0019760000000000003,0.009745487981625138,16.209679,-24.273178,-55.332993,62.55941957723692,0
33,33,-1.3754096666666662,-0.114917,9.794258000000001,9.891028634000264,0.010707,-0.0016530000000000002,0.0031969999999999998,0.011295710114906455,17.370319,-26.393677,-55.653152,63.99708974068425,0
34,34,-1.3698233333333327,-0.108931,9.790667,9.886629467730366,0.010707,0.00017900000000000001,0.004725,0.011704593756299276,17.838798999999998,-26.24472,-54.427502000000004,63.00286542373137,0
35,35,-1.3594489999999995,-0.09815800000000001,9.781089999999999,9.875599129402984,0.009486,0.0038450000000000003,0.004725,0.011273590643623708,17.08091,-25.974273999999998,-55.035033999999996,63.20819063726102,0
36,36,-1.3594489999999995,-0.11372,9.784680999999999,9.879322653591286,0.008569,0.0032340000000000003,0.002281,0.009438722265222133,18.142985999999997,-25.649231,-56.736454,64.85426897577116,0
37,37,-1.367828333333333,-0.112523,9.805031,9.900618601176365,0.006737000000000001,0.00079,0.002281,0.0071564118103977226,17.850216,-25.520538000000002,-55.503452,63.64401978954822,0
38,38,-1.3782026666666665,-0.120902,9.815804,9.912823414669864,0.0061259999999999995,0.006899,0.002281,0.00950405376668293,18.306964999999998,-25.508377,-55.507862,63.77260390243132,0
39,39,-1.3865823333333331,-0.135267,9.779894,9.878625125979683,0.009179999999999999,0.004455,0.003503,0.010788439831597522,17.09198,-25.54335,-55.03485500000001,63.0351788639798,0
40,40,-1.3917696666666661,-0.100552,9.770317,9.86945934640021,0.010402,0.002928,0.005336,0.012051874708940513,17.526241,-26.68631,-53.96349300000001,62.70077225814073,0
41,41,-1.3989519999999995,-0.112523,9.788273,9.888377847066828,0.011318,0.00415,0.005640999999999999,0.013309414149390648,17.390781,-25.677185,-55.345356,63.441827874683135,0
42,42,-1.3829909999999996,-0.12569,9.817001,9.914735030054105,0.008569,0.006899,0.010222,0.015017098454761492,16.733791,-28.001038,-53.649181000000006,62.78783729576841,0
43,43,-1.369823333333333,-0.11012899999999999,9.811016,9.906794603374061,0.011929,0.005983,0.009612,0.016446515558014106,17.692249,-26.106842,-54.118473,62.636985829002775,0
44,44,-1.3746116666666663,-0.10534,9.784680999999999,9.881327644678983,0.012234,0.002928,0.010222,0.01620904759694412,16.64798,-24.979232999999997,-55.337704,62.95537152094573,0
45,45,-1.409725333333333,-0.10534,9.796652,9.898121662221868,0.01254,-0.001348,0.004725,0.013468271195665762,16.321667,-25.996230999999998,-54.720181000000004,62.74152571094372,0
46,46,-1.4496269999999998,-0.09815800000000001,9.802636999999999,9.90972984424207,0.014678,-0.000126,0.00503,0.015516457714310957,17.565154999999997,-25.251617,-53.655392000000006,61.84723051165977,0
47,47,-1.462794333333333,-0.120902,9.783484,9.892974463400384,0.019259000000000002,-0.006540000000000001,0.013277,0.024289080056683912,17.532288,-26.251114,-54.732063000000004,63.183073912179275,0
48,48,-1.4719716666666667,-0.09815800000000001,9.796652,9.907104823788707,0.014678,-0.012343000000000002,0.019385,0.027268508540072373,17.566517,-24.518875,-56.268841,63.84309060705156,0
49,49,-1.4484296666666665,-0.025138,9.815805000000001,9.922127202185484,0.006431,-0.012953999999999999,0.015109000000000001,0.020915203991355186,16.916573,-26.848709000000003,-53.496426,62.20041166909176,0
50,50,-1.4133163333333332,-0.068232,9.751163,9.853288715777072,0.010095999999999999,-0.020285,0.013277,0.026261933858724114,16.609070000000003,-26.413925,-55.645805,63.79664767265244,0
51,51,-1.3486756666666662,-0.050276,9.754755000000001,9.847674793577406,0.00521,-0.01326,0.0013650000000000001,0.014312055233264018,17.557774,-25.538895,-53.655514000000004,61.963091984344175,0
52,52,-1.2856309999999997,-0.067035,9.769119,9.853579390026093,0.000628,-0.015092,0.0013650000000000001,0.015166610465097334,16.623486,-26.132629,-54.569435,62.74613790077491,0
53,53,-1.2545076666666664,-0.080202,9.80982,9.89003489776095,-0.0018149999999999998,-0.013565,-0.0053549999999999995,0.01469624016543007,17.511166,-26.673477000000002,-56.269741,64.68693115426149,0
54,54,-1.2445323333333331,-0.203498,9.82179,9.902415410838717,0.000323,-0.006540000000000001,-0.001995,0.0068451409043203786,19.038349,-26.930511,-54.439564000000004,63.65043035107475,0
55,55,-1.265281333333333,-0.263351,9.815805000000001,9.900521117583043,0.0070420000000000005,0.0038450000000000003,0.00503,0.009469672064015734,16.808285,-24.541701999999997,-55.800243,63.23354094590211,0
56,56,-1.2720646666666664,-0.265745,9.814608,9.900267628446757,0.01254,0.009953,0.013277,0.020798859055246276,17.831764,-26.238739000000002,-55.503754,63.93050867742516,0
57,57,-1.2736606666666663,-0.190331,9.773909,9.858383971202164,0.018649000000000002,0.021254,0.013888,0.03150228977391961,17.424652,-24.678542999999998,-54.11493299999999,61.97640644243938,0
58,58,-1.2764536666666662,-0.162799,9.761938,9.84638365052834,0.020176,0.027974000000000002,0.014497999999999999,0.037414003474635006,17.688248,-25.663086,-56.424544999999995,64.46082049438965,0
59,59,-1.290818333333333,-0.13407,9.779894,9.86562280780111,0.01987,0.033777,0.012666,0.0411841011192426,18.140960999999997,-26.08786,-55.352886,63.8248610959093,0
60,60,-1.3343109999999996,-0.11850799999999999,9.794258000000001,9.885439785935121,0.020176,0.033166,0.01175,0.04056004230767024,16.156685,-26.136215,-56.102524,63.9658768710789,0
61,61,-1.3754096666666662,-0.120902,9.79306,9.889913710865436,0.020481,0.029806,0.013888,0.03873945715933562,15.894112,-24.712204,-55.330234999999995,62.64783099167428,0
62,62,-1.4053356666666665,-0.11850799999999999,9.779894,9.881059615916982,0.0159,0.020338,0.012055,0.028491529776408987,16.944426999999997,-25.404617000000002,-54.879574,62.80346975841776,0
63,63,-1.412917,-0.09337000000000001,9.805031,9.90674948289044,0.011929,0.007815,0.008084000000000001,0.016392874122618036,19.234867,-25.643112,-52.749244999999995,61.72545787292515,0
64,64,-1.4009466666666663,-0.03232,9.82179,9.921252690529782,0.011623999999999999,0.001401,0.004419,0.012514301338868262,17.665760000000002,-26.818207,-55.348774,63.99048434240458,0
65,65,-1.388178333333333,0.053867,9.814608,9.912440210790132,0.011013,0.0038450000000000003,0.0031969999999999998,0.012095081769049765,18.43808,-26.367034999999998,-55.355945999999996,64.0270574548959,0
66,66,-1.3913706666666663,0.123296,9.789471,9.88862258838497,0.008569,-0.002569,-0.001995,0.00916556310326867,16.925976000000002,-26.122818,-54.879875,63.092717201189906,0
67,67,-1.434065333333333,0.16639,9.789471,9.895351002981625,0.00185,-0.006235,-0.000162,0.006505687434852677,17.673801,-26.825043,-54.118774,62.934790640809524,0
68,68,-1.5461889999999998,0.19871,9.791864,9.915179609180916,0.000323,-0.007151,0.002892,0.007720414108064412,18.916301999999998,-25.639252,-54.898804000000005,63.47500614497902,0
69,69,-1.6658936666666664,0.136464,9.806227999999999,9.947659610175656,-0.052212,-0.036778,0.0031969999999999998,0.06394478115530618,18.615467000000002,-25.944031,-53.204731,62.05136386042946,0
70,70,-1.7552733333333332,-0.210681,9.627869,9.788832026326386,0.001544,-0.002875,-0.004438,0.005508666354027988,18.424656,-27.089508000000002,-54.58749399999999,63.66399212742188,0
71,71,-1.6419523333333332,-0.21906,9.717647999999999,9.857823157292017,0.007958,-0.048079000000000004,-0.008104,0.0494023766735974,17.068504,-26.257278000000003,-55.80390500000001,63.991048514744044,0
72,72,-1.5007006666666667,-0.190331,9.922342,10.036991538576626,-0.014643999999999999,-0.065794,-0.013296,0.06870284410415627,18.480995,-25.376082999999998,-52.741776,61.37742011723114,0
73,73,-1.3315176666666664,-0.220257,9.873261999999999,9.96507676655521,-0.003037,-0.048383999999999996,-0.010242,0.04954930260861397,19.05479,-26.210601999999998,-54.746761,63.61830333432058,0
74,74,-1.2285716666666664,-0.253774,9.790667,9.870711721456619,-0.004564,-0.02395,-0.000773,0.024393239329781522,19.05479,-26.210601999999998,-54.746761,63.61830333432058,0
75,75,-1.123630333333333,-0.216666,9.755953,9.822836057868,-0.0036479999999999998,0.0010960000000000002,0.005336,0.0065560671137504375,17.85725,-25.52652,-54.427204,62.71208126135279,0
76,76,-1.0673689999999998,-0.24060700000000002,9.735602,9.79689311021683,0.001544,0.012091,0.009306,0.015335509544843954,18.270065,-26.944778000000003,-55.508461,64.35064552249673,0
77,77,-1.1332066666666663,0.13885799999999998,9.801441,9.867709185521369,-0.062902,-0.014176,-0.015739,0.06637271051418647,18.418613,-27.524703999999996,-53.818923999999996,63.19280984138275,0
78,78,-1.2616899999999995,-0.09815800000000001,9.972617999999999,10.052592025094224,-0.126126,0.005372,-0.00566,0.12636717081584126,17.518517000000003,-27.266861,-52.88748199999999,62.02794450062756,0
79,79,-1.3514686666666662,-0.18674000000000002,9.698494,9.793984135816117,-0.029304000000000004,0.021254,0.005336,0.03659139008018143,17.544693,-25.968109,-53.96319200000001,62.40340558278045,0
80,80,-1.3694243333333327,-0.28010999999999997,9.742785000000001,9.842542566484052,-0.013727000000000001,0.042635,0.001059,0.044802848514352296,18.596027,-26.221054,-55.049854,63.74827306270313,0
81,81,-1.351867666666666,-0.211878,9.794258000000001,9.889384624213319,0.016816,0.05943300000000001,0.008084000000000001,0.062292940217973346,16.184841,-25.719832999999998,-53.48859399999999,61.51819711142391,0
82,82,-1.469178666666666,0.136464,9.840942,9.950942057174709,-0.013116,0.08906,-0.057277999999999996,0.10669808967362068,18.145985,-26.092133,-54.584132999999994,63.16251856498126,0
83,83,-1.4584053333333327,-0.24300100000000002,9.672158,9.784510002001127,-0.013116,0.032555,-0.042312,0.05497420144940716,18.305943,-25.947845,-53.970543000000006,62.619627282331564,0
84,84,-1.4384543333333326,-0.494381,9.833761,9.950699414984228,0.007958,0.012091,-0.043227999999999996,0.0455870818214985,17.403183,-25.39418,-54.576485,62.660417101700766,0
85,85,-1.3151583333333328,-0.17716300000000001,9.840942,9.930013475200782,-0.014643999999999999,-0.006540000000000001,-0.027039999999999998,0.03143851039728186,17.412247,-24.961548,-54.883804000000005,62.75744709319947,0
